country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
"Moldova, Republic of",MD,MDA,498,Rural,11,Dry latrines - Bucket latrine,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,Rural,12,Dry latrines - Other,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,Rural,13,Composting toilets,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,Rural,14,Other improved,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,Rural,15,"No facility, bush, field",0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,Rural,16,Other unimproved,0.581,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,Rural,17,DK/missing information,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,1,Flush and pour flush - to piped sewer system,0.33,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,2,Flush and pour flush - to septic tank,0.308,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,3,Flush and pour flush - to pit,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,5,Flush and pour flush - to elsewhere,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,8,Dry latrines - Traditional latrine,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,11,Dry latrines - Bucket latrine,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,12,Dry latrines - Other,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,13,Composting toilets,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,14,Other improved,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,15,"No facility, bush, field",0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,16,Other unimproved,0.362,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,National,17,DK/missing information,0.0,Household Budget Survey - HBS15
"Moldova, Republic of",MD,MDA,498,Urban,1,Flush and pour flush - to piped sewer system,0.732,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,2,Flush and pour flush - to septic tank,0.173,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,3,Flush and pour flush - to pit,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,5,Flush and pour flush - to elsewhere,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,8,Dry latrines - Traditional latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,11,Dry latrines - Bucket latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,12,Dry latrines - Other,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,13,Composting toilets,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,14,Other improved,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,15,"No facility, bush, field",0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,16,Other unimproved,0.095,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,17,DK/missing information,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,1,Flush and pour flush - to piped sewer system,0.023,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,2,Flush and pour flush - to septic tank,0.419,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,3,Flush and pour flush - to pit,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,5,Flush and pour flush - to elsewhere,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,8,Dry latrines - Traditional latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,11,Dry latrines - Bucket latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,12,Dry latrines - Other,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,13,Composting toilets,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,14,Other improved,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,15,"No facility, bush, field",0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,16,Other unimproved,0.558,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Rural,17,DK/missing information,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,1,Flush and pour flush - to piped sewer system,0.339,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,2,Flush and pour flush - to septic tank,0.31,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,3,Flush and pour flush - to pit,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,5,Flush and pour flush - to elsewhere,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,8,Dry latrines - Traditional latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,11,Dry latrines - Bucket latrine,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,12,Dry latrines - Other,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,13,Composting toilets,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,14,Other improved,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,15,"No facility, bush, field",0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,16,Other unimproved,0.351,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,National,17,DK/missing information,0.0,Household Budget Survey - HBS16
"Moldova, Republic of",MD,MDA,498,Urban,1,Flush and pour flush - to piped sewer system,0.652,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,2,Flush and pour flush - to septic tank,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,3,Flush and pour flush - to pit,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,5,Flush and pour flush - to elsewhere,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,8,Dry latrines - Traditional latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,11,Dry latrines - Bucket latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,12,Dry latrines - Other,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,13,Composting toilets,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,14,Other improved,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,15,"No facility, bush, field",0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,16,Other unimproved,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Urban,17,DK/missing information,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,1,Flush and pour flush - to piped sewer system,0.054,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,2,Flush and pour flush - to septic tank,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,3,Flush and pour flush - to pit,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,5,Flush and pour flush - to elsewhere,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,8,Dry latrines - Traditional latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,11,Dry latrines - Bucket latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,12,Dry latrines - Other,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,13,Composting toilets,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,14,Other improved,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,15,"No facility, bush, field",0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,16,Other unimproved,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,Rural,17,DK/missing information,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,1,Flush and pour flush - to piped sewer system,0.283,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,2,Flush and pour flush - to septic tank,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,3,Flush and pour flush - to pit,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,5,Flush and pour flush - to elsewhere,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,8,Dry latrines - Traditional latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,11,Dry latrines - Bucket latrine,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,12,Dry latrines - Other,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,13,Composting toilets,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,14,Other improved,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,15,"No facility, bush, field",0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,16,Other unimproved,0.0,Census - CEN04
"Moldova, Republic of",MD,MDA,498,National,17,DK/missing information,0.0,Census - CEN04
