country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Brazil,BR,BRA,076,Urban,2,Flush and pour flush - to septic tank,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,3,Flush and pour flush - to pit,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.001,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,5,Flush and pour flush - to elsewhere,0.008,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,8,Dry latrines - Traditional latrine,0.245,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.009,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,11,Dry latrines - Bucket latrine,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,12,Dry latrines - Other,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,13,Composting toilets,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,14,Other improved,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,15,"No facility, bush, field",0.005,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,16,Other unimproved,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Urban,17,DK/missing information,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,1,Flush and pour flush - to piped sewer system,0.081,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,2,Flush and pour flush - to septic tank,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,3,Flush and pour flush - to pit,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.011,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,5,Flush and pour flush - to elsewhere,0.025,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,8,Dry latrines - Traditional latrine,0.723,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.074,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,11,Dry latrines - Bucket latrine,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,12,Dry latrines - Other,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,13,Composting toilets,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,14,Other improved,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,15,"No facility, bush, field",0.086,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,16,Other unimproved,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
Brazil,BR,BRA,076,Rural,17,DK/missing information,0.0,"Pesquisa Nacional por Amostra de Domicílios, 2016 - PNAD16"
